Player,Opp,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,Week
M. Stafford LA,@ CHI,5,29,20,224,0,1,0,1,-1,0,0,0,0,0,0,1,4
A. Richardson IND,vs PIT,4,4,3,71,0,0,0,3,24,0,0,0,0,0,0,0,4
M. Rudolph TEN,@ MIA,3,17,9,85,0,0,0,0,0,0,0,0,0,0,0,0,4
J. Johnson BAL,vs BUF,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
M. Trubisky BUF,@ BAL,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4
W. Levis TEN,@ MIA,-1,4,3,25,0,1,0,2,5,0,0,0,0,0,0,0,4
J. Burrow CIN,vs BAL,43,39,30,392,5,1,0,2,1,0,0,0,0,0,0,0,5
K. Cousins ATL,vs TB,42,58,42,509,4,1,0,0,0,0,0,0,0,0,0,0,5
L. Jackson BAL,@ CIN,41,42,26,348,4,0,0,12,55,0,0,0,0,0,0,1,5
J. Flacco IND,@ JAX,33,44,33,359,3,0,0,3,22,0,0,0,0,0,0,1,5
B. Mayfield TB,@ ATL,29,24,19,180,3,0,0,6,42,0,0,0,0,0,0,0,5
C. Williams CHI,vs CAR,27,29,20,304,2,0,0,5,34,0,0,0,0,0,0,0,5
B. Nix DEN,vs LV,26,27,19,206,2,0,0,8,9,1,0,0,0,0,0,0,5
D. Jones MIN,@ SEA,25,34,23,257,2,0,0,11,38,0,0,0,0,0,0,0,5
K. Murray ARI,@ SF,25,30,19,195,1,1,0,7,83,1,0,0,0,0,0,0,5
T. Lawrence JAX,vs IND,24,34,28,371,2,1,0,2,4,0,0,0,0,0,0,0,5
G. Smith SEA,vs NYG,24,40,28,284,1,0,0,4,72,0,0,0,0,0,0,0,5
J. Daniels WAS,vs CLE,21,25,14,238,1,1,0,11,82,0,0,0,0,0,0,0,5
D. Prescott DAL,@ PIT,21,42,29,352,2,2,0,1,3,0,0,0,0,0,0,1,5
J. Fields PIT,vs DAL,19,27,15,131,2,0,0,6,27,0,0,0,0,0,0,0,5
J. Love GB,@ LA,19,26,15,224,2,1,0,3,10,0,0,0,0,0,0,0,5
C. Stroud HOU,vs BUF,18,38,28,331,1,1,0,3,27,0,0,0,0,0,0,1,5
J. Allen BUF,@ HOU,16,30,9,131,1,0,0,4,54,0,0,0,0,0,0,0,5
D. Carr NO,@ KC,16,28,18,165,2,1,0,0,0,0,0,0,0,0,0,0,5
A. Rodgers NYJ,@ MIN,15,54,29,244,2,3,0,0,0,0,0,0,0,0,0,0,5
B. Purdy SF,vs ARI,14,35,19,244,1,2,0,4,33,0,0,0,0,0,0,0,5
M. Stafford LA,vs GB,14,45,29,260,1,1,0,0,0,0,0,0,0,0,0,0,5
P. Mahomes KC,vs NO,13,39,28,331,0,1,0,6,22,0,0,0,0,0,0,0,5
D. Watson CLE,@ WAS,11,28,15,125,1,0,0,3,14,0,0,0,0,0,0,1,5
G. Minshew LV,@ DEN,9,17,12,137,1,2,0,2,22,0,0,0,0,0,0,0,5
J. Brissett NE,vs MIA,7,34,18,160,0,0,0,1,10,0,0,0,0,0,0,0,5
S. Darnold MIN,vs NYJ,5,31,14,179,0,1,0,5,11,0,0,0,0,0,0,1,5
T. Huntley MIA,@ NE,5,31,18,194,0,1,0,3,7,0,0,0,0,0,0,0,5
A. Dalton CAR,@ CHI,3,28,18,136,0,1,0,1,3,0,0,0,0,0,0,0,5
B. Young CAR,@ CHI,2,7,4,58,0,0,0,1,8,0,0,0,0,0,0,0,5
J. Haener NO,@ KC,1,7,2,17,0,0,0,2,11,0,0,0,0,0,0,0,5
A. O'Connell LV,@ DEN,1,20,10,94,0,1,0,0,0,0,0,0,0,0,0,0,5
K. Allen PIT,vs DAL,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,5
T. Bagent CHI,vs CAR,0,0,0,0,0,0,0,3,-4,0,0,0,0,0,0,0,5
M. Mariota WAS,vs CLE,0,3,1,-2,0,0,0,2,2,0,0,0,0,0,0,0,5
N. Mullens MIN,vs NYJ,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,5
J. Winston CLE,@ WAS,0,1,1,16,0,0,0,1,-3,0,0,0,0,0,0,0,5
C. Williams CHI,vs JAX,36,29,23,226,4,1,0,4,56,0,0,0,0,0,0,0,6
J. Love GB,vs ARI,33,32,22,258,4,1,0,5,13,0,0,0,0,0,0,0,6
B. Mayfield TB,@ NO,33,36,24,325,4,3,0,3,29,0,0,0,0,0,0,0,6
J. Goff DET,@ DAL,30,25,18,315,3,0,0,3,5,0,0,0,0,0,0,0,6
B. Purdy SF,@ SEA,29,28,18,255,3,0,0,4,19,0,0,0,0,0,0,0,6
J. Allen BUF,@ NYJ,27,25,19,215,2,0,0,9,18,1,0,0,0,0,0,0,6
J. Hurts PHI,vs CLE,25,25,16,264,2,0,0,14,33,0,0,0,0,0,0,0,6
D. Maye NE,vs HOU,25,33,20,243,3,2,0,5,38,0,0,0,0,0,0,1,6
J. Daniels WAS,@ BAL,24,35,24,269,2,0,0,6,22,0,0,0,0,0,0,0,6
B. Nix DEN,vs LAC,24,33,19,216,2,1,0,6,61,0,0,0,0,0,0,0,6
C. Stroud HOU,@ NE,23,31,20,192,3,1,0,3,7,0,0,0,0,0,0,0,6
J. Fields PIT,@ LV,22,24,14,145,0,0,0,11,59,2,0,0,0,0,0,0,6
A. Rodgers NYJ,vs BUF,21,35,23,294,2,1,0,0,0,0,0,0,0,0,0,0,6
L. Jackson BAL,vs WAS,20,26,20,323,1,1,0,11,40,0,0,0,0,0,0,0,6
T. Lawrence JAX,@ CHI,20,35,23,234,2,1,0,4,17,0,0,0,0,0,0,0,6
J. Burrow CIN,@ NYG,19,28,19,208,0,0,0,4,55,1,0,0,0,0,0,0,6
A. Dalton CAR,vs ATL,18,38,26,221,2,2,0,3,21,0,0,0,0,0,0,0,6
J. Flacco IND,@ TEN,17,38,22,189,2,1,0,1,1,0,0,0,0,0,0,0,6
K. Cousins ATL,@ CAR,15,30,19,225,1,0,0,4,-5,0,0,0,0,0,0,0,6
